arretId,correspondanceId,distance
pigblan1,pigblan2,79
pigblan1,pigeonb1,69
pigblan1,pigeonb2,78
pigblan2,pisbreq1,176
pigblan2,pisbreq2,167
pigblan2,pigblan1,79
pigblan2,pigeonb1,71
pigblan2,pigeonb2,67
lilamor2,lilamor1,55
pinault2,pinault1,3
gare1,gare2,64
gare1,magenta2,179
gare1,gares1,55
lilamor1,lilamor2,55
pinault1,pinault2,3
gare2,gare1,64
gare2,gares1,9
guerina2,guerina1,14
guerina1,guerina2,14
cdg,colombi1,41
cdg,colombi2,55
doublee3,doublee4,155
vallee1,vallee2,12
langevi1,gide1,199
langevi1,langevi2,65
vallee2,vallee1,12
eccxve2,eccxve1,9
ikea2,ikea1,20
ikea1,ikea2,20
lionor1,lionor2,42
lionor2,lionor1,42
martin2,martin1,51
huberd1,huberd2,44
martin1,martin2,51
lehosu1,lemaist2,178
lehosu1,lehosu2,148
lehosu1,leho2,135
lehosu1,leho1,146
feval2,feval1,4
langevi2,langevi1,65
feval1,feval2,4
ptbran2,ptbran1,9
solidor1,solidor2,107
ptbran1,ptbran2,9
mezie1,mezie2,8
solidor2,solidor1,107
mezie2,mezie1,8
huberd2,huberd1,44
lehosu2,lehosu1,148
lehosu2,berthau1,136
eccxve1,eccxve2,9
frevi04,frevi01,34
frevi04,frevi03,13
frevi04,frevi02,61
frevi04,frevill1,91
frevi04,argaun1,166
frevi04,frevi3,65
patismo2,patismo1,19
cencha2,cencha1,72
patismo1,patismo2,19
cencha1,cencha2,72
cngare1,garecn,34
auditoi1,auditoi2,21
auditoi2,auditoi1,21
brizeux2,duchann1,179
brizeux2,brizeux1,112
brizeux1,sevivin2,200
brizeux1,brizeux2,112
cardum1,cardum2,8
cardum2,cardum1,8
boberil2,lybrequ,126
frevi01,frevi04,34
frevi01,frevi03,38
frevi01,frevi02,28
frevi01,frevill1,121
frevi01,argaun1,133
frevi01,frevi3,98
genbade1,genbade2,47
frevi03,frevi04,13
frevi03,frevi01,38
frevi03,frevi02,66
frevi03,frevill1,83
frevi03,argaun1,171
frevi03,frevi3,66
frevi02,frevi04,61
frevi02,frevi01,28
frevi02,frevi03,66
frevi02,frevill1,149
frevi02,argaun1,105
frevi02,frevi3,125
genbade2,genbade1,47
mapope1,mapope2,46
quince,quince2,1
quince,quince1,17
cxmalter,cxmalin2,22
cxmalter,cxmalin1,22
mapope2,mapope1,46
rochers1,rochers2,6
rochers2,rochers1,6
provenc2,provenc1,24
provenc1,provenc2,24
hopisud2,hopisud3,96
hopisud2,hopisud1,96
hopisud2,torigne2,200
hopisud3,hopisud2,96
hopisud3,hopisud1,0
cxpig1,cxpig2,50
mamord1,mamord2,48
cxpig2,cxpig1,50
hopisud1,hopisud2,96
hopisud1,hopisud3,0
mamord2,mamord1,48
clisage2,clisage1,40
clisage2,montant2,159
landry1,landry2,64
taillis1,taillis2,9
clisage1,clisage2,40
clisage1,montant2,119
clisage1,montand1,175
cram1,bignon2,110
cram1,bignon1,51
cram1,htsance,115
cram1,cram2,80
taillis2,taillis1,9
cram2,bignon2,81
cram2,bignon1,51
cram2,htsance,134
cram2,cram1,80
lgpres1,lgpres2,27
lgpres1,hotregi4,189
lgpres2,lgpres1,27
houx1,patton1,138
houx1,houx2,45
houx2,patton1,162
houx2,houx1,45
lguillg1,lguillg2,34
lguillg1,lguillo2,70
lguillg1,lguillo1,113
lguillg2,lguillg1,34
lguillg2,lguillo2,104
